chemin,class,classe_LOC,classe_CLOC,classe_DC,classe_WMC,classe_BC
E:\Downloads\jfree\data\xml\,PieDatasetHandler,288,37,0.1284722222222222,1.8,0.0713734586808744

E:\Downloads\jfree\data\xml\,RootHandler,286,36,0.1258741258741259,1.6666666,0.07552447732511938

E:\Downloads\jfree\data\xml\,ValueHandler,321,47,0.14641744548286603,1.6666666,0.08785046938423803

E:\Downloads\jfree\data\time\ohlc\,OHLC,326,50,0.15337423312883436,1.8571428,0.08258612780284165

E:\Downloads\jfree\data\time\ohlc\,OHLCItem,315,45,0.14285714285714285,1.5714285,0.09090909287949242

E:\Downloads\jfree\data\time\ohlc\,OHLCSeries,313,54,0.17252396166134185,1.3333334,0.12939296738979544

E:\Downloads\jfree\data\time\ohlc\,OHLCSeriesCollection,644,233,0.36180124223602483,1.4285715,0.2532608635270079

E:\Downloads\jfree\data\time\,DateRange,349,68,0.19484240687679083,1.0,0.19484240687679083

E:\Downloads\jfree\data\time\,Day,611,193,0.3158756137479542,1.3181819,0.23962976609634656

E:\Downloads\jfree\data\time\,DynamicTimeSeriesCollection,1075,426,0.39627906976744187,2.0208333,0.19609686697822054

E:\Downloads\jfree\data\time\,FixedMillisecond,484,114,0.23553719008264462,1.4117647,0.1668388388317192

E:\Downloads\jfree\data\time\,Hour,641,192,0.2995319812792512,1.5652174,0.19136765660725513

E:\Downloads\jfree\data\time\,Millisecond,607,161,0.2652388797364086,1.8333334,0.14467574944773318

E:\Downloads\jfree\data\time\,Minute,655,186,0.28396946564885495,1.6666666,0.17038168345152885

E:\Downloads\jfree\data\time\,Month,716,204,0.2849162011173184,2.0,0.1424581005586592

E:\Downloads\jfree\data\time\,MovingAverage,543,92,0.1694290976058932,4.25,0.03986567002491605

E:\Downloads\jfree\data\time\,Quarter,667,186,0.27886056971514245,1.6190476,0.1722374082908469

E:\Downloads\jfree\data\time\,RegularTimePeriod,535,125,0.2336448598130841,1.7142857,0.13629283353701807

E:\Downloads\jfree\data\time\,Second,665,168,0.25263157894736843,1.9473684,0.12972973223756581

E:\Downloads\jfree\data\time\,SimpleTimePeriod,475,75,0.15789473684210525,2.2222223,0.07105262819089403

E:\Downloads\jfree\data\time\,TimePeriod,333,17,0.05105105105105105,1.0,0.05105105105105105

E:\Downloads\jfree\data\time\,TimePeriodAnchor,322,4,0.012422360248447204,NaN,NaN

E:\Downloads\jfree\data\time\,TimePeriodFormatException,327,9,0.027522935779816515,1.0,0.027522935779816515

E:\Downloads\jfree\data\time\,TimePeriodValue,445,68,0.15280898876404495,1.4444444,0.10579084031530049

E:\Downloads\jfree\data\time\,TimePeriodValues,785,216,0.2751592356687898,1.8888888,0.1456725406165405

E:\Downloads\jfree\data\time\,TimePeriodValuesCollection,701,169,0.24108416547788872,1.7826087,0.1352423327992687

E:\Downloads\jfree\data\time\,TimeSeries,1540,571,0.37077922077922076,2.5357144,0.14622278540100614

E:\Downloads\jfree\data\time\,TimeSeriesCollection,994,305,0.306841046277666,1.8157895,0.16898492520477681

E:\Downloads\jfree\data\time\,TimeSeriesDataItem,529,90,0.17013232514177692,1.4444444,0.11778391956598977

E:\Downloads\jfree\data\time\,TimeSeriesTableModel,582,78,0.13402061855670103,2.3636363,0.05670103352756194

E:\Downloads\jfree\data\time\,TimeTableXYDataset,905,295,0.3259668508287293,1.5151515,0.21513812359867834

E:\Downloads\jfree\data\time\,Week,906,229,0.25275938189845476,2.0833333,0.12132450793942097

E:\Downloads\jfree\data\time\,Year,709,173,0.24400564174894218,1.3888888,0.17568406876105375

E:\Downloads\jfree\data\statistics\,BoxAndWhiskerCalculator,573,54,0.09424083769633508,4.75,0.019840176357123176

E:\Downloads\jfree\data\statistics\,BoxAndWhiskerCategoryDataset,585,146,0.24957264957264957,1.0,0.24957264957264957

E:\Downloads\jfree\data\statistics\,BoxAndWhiskerItem,640,103,0.1609375,1.8461539,0.08717447873366635

E:\Downloads\jfree\data\statistics\,BoxAndWhiskerXYDataset,534,100,0.18726591760299627,1.0,0.18726591760299627

E:\Downloads\jfree\data\statistics\,DefaultBoxAndWhiskerCategoryDataset,1251,421,0.3365307753796962,1.8139535,0.18552337305191965

E:\Downloads\jfree\data\statistics\,DefaultBoxAndWhiskerXYDataset,913,248,0.27163198247535597,1.75,0.1552182757002034

