chemin,class,classe_LOC,classe_CLOC,classe_DC,classe_WMC,classe_BC
./classesTest/jfree/chart/labels/,IntervalCategoryItemLabelGenerator,44,33,0.0,1.0,0.0

./classesTest/jfree/chart/labels/,IntervalCategoryToolTipGenerator,44,41,0.0,1.6666666,0.0

./classesTest/jfree/chart/labels/,IntervalXYItemLabelGenerator,100,86,0.0,1.5,0.0

./classesTest/jfree/chart/labels/,IntervalXYToolTipGenerator,97,86,0.0,1.5,0.0

./classesTest/jfree/chart/labels/,ItemLabelAnchor,27,29,1.0,NaN,NaN

./classesTest/jfree/chart/labels/,ItemLabelPosition,23,59,2.0,1.8571428,1.076923106549055

./classesTest/jfree/chart/labels/,MultipleXYSeriesLabelGenerator,30,65,2.0,2.0,1.0

./classesTest/jfree/chart/labels/,PieSectionLabelGenerator,5,39,7.0,NaN,NaN

./classesTest/jfree/chart/labels/,PieToolTipGenerator,3,14,4.0,NaN,NaN

./classesTest/jfree/chart/labels/,StandardCategoryItemLabelGenerator,22,53,2.0,1.5,1.3333333333333333

./classesTest/jfree/chart/labels/,StandardCategorySeriesLabelGenerator,13,52,4.0,1.5,2.6666666666666665

./classesTest/jfree/chart/labels/,StandardCategoryToolTipGenerator,22,41,1.0,1.6666666,0.6000000143051151

./classesTest/jfree/chart/labels/,StandardCrosshairLabelGenerator,22,47,2.0,1.6666666,1.2000000286102301

./classesTest/jfree/chart/labels/,StandardPieSectionLabelGenerator,29,114,3.0,1.3333334,2.2499999329447764

./classesTest/jfree/chart/labels/,StandardPieToolTipGenerator,15,60,4.0,1.0,4.0

./classesTest/jfree/chart/labels/,StandardXYItemLabelGenerator,29,84,2.0,1.4,1.4285714528998554

./classesTest/jfree/chart/labels/,StandardXYSeriesLabelGenerator,13,58,4.0,1.5,2.6666666666666665

./classesTest/jfree/chart/labels/,StandardXYToolTipGenerator,29,82,2.0,1.4,1.4285714528998554

./classesTest/jfree/chart/labels/,StandardXYZToolTipGenerator,52,87,1.0,1.7142857,0.5833333275384374

./classesTest/jfree/chart/labels/,SymbolicXYItemLabelGenerator,12,51,4.0,2.2,1.8181817787737895

./classesTest/jfree/chart/labels/,XYItemLabelGenerator,3,14,4.0,NaN,NaN

./classesTest/jfree/chart/labels/,XYSeriesLabelGenerator,3,17,5.0,NaN,NaN

./classesTest/jfree/chart/labels/,XYToolTipGenerator,3,13,4.0,NaN,NaN

./classesTest/jfree/chart/labels/,XYZToolTipGenerator,3,13,4.0,NaN,NaN

./classesTest/jfree/chart/imagemap/,DynamicDriveToolTipTagFragmentGenerator,6,24,4.0,1.0,4.0

./classesTest/jfree/chart/imagemap/,ImageMapUtils,59,84,1.0,4.6666665,0.21428572158424247

./classesTest/jfree/chart/imagemap/,OverLIBToolTipTagFragmentGenerator,4,14,3.0,1.0,3.0

./classesTest/jfree/chart/imagemap/,StandardToolTipTagFragmentGenerator,4,13,3.0,1.0,3.0

./classesTest/jfree/chart/imagemap/,StandardURLTagFragmentGenerator,4,13,3.0,1.0,3.0

./classesTest/jfree/chart/imagemap/,ToolTipTagFragmentGenerator,3,18,6.0,NaN,NaN

./classesTest/jfree/chart/imagemap/,URLTagFragmentGenerator,3,15,5.0,NaN,NaN

./classesTest/jfree/chart/event/,AnnotationChangeEvent,3,23,7.0,1.0,7.0

./classesTest/jfree/chart/event/,AnnotationChangeListener,3,13,4.0,NaN,NaN

./classesTest/jfree/chart/event/,AxisChangeEvent,3,15,5.0,1.0,5.0

./classesTest/jfree/chart/event/,AxisChangeListener,3,15,5.0,NaN,NaN

./classesTest/jfree/chart/event/,ChartChangeEvent,11,46,4.0,1.0,4.0

